(-43.03773, -22.339458)
(-43.038162, -22.339533)
(-43.038494, -22.339603)
(-43.038506, -22.339582)
(-43.038918, -22.339334)
(-43.039135, -22.339157)
(-43.039364, -22.339094)
(-43.04, -22.339014)
(-43.04045, -22.338718)
(-43.040844, -22.338423)
(-43.040897, -22.338423)
(-43.04094, -22.338408)
(-43.041096, -22.338467)
(-43.041157, -22.338486)
(-43.041294, -22.338512)
(-43.041393, -22.338465)
(-43.04149, -22.338444)
(-43.041603, -22.338457)
(-43.04162, -22.338428)
(-43.041653, -22.338505)
(-43.041683, -22.338602)
(-43.04181, -22.338673)
(-43.041958, -22.338688)
(-43.042114, -22.33869)
(-43.042233, -22.338717)
(-43.04234, -22.338766)
(-43.042404, -22.338774)
(-43.04252, -22.338757)
(-43.042606, -22.338793)
(-43.04261, -22.338928)
(-43.042683, -22.338993)
(-43.042747, -22.339016)
(-43.042843, -22.33899)
(-43.04292, -22.338951)
(-43.04305, -22.339005)
(-43.04314, -22.339045)
(-43.043236, -22.339144)
(-43.0434, -22.339067)
(-43.04354, -22.33902)
(-43.04372, -22.338982)
(-43.043865, -22.33895)
(-43.044056, -22.338888)
(-43.044224, -22.338974)
(-43.044376, -22.339046)
(-43.044483, -22.339191)
(-43.04466, -22.33945)
(-43.044765, -22.33958)
(-43.044834, -22.339758)
(-43.044933, -22.339907)
(-43.045044, -22.340015)
(-43.045143, -22.34024)
(-43.045105, -22.340193)
(-43.04508, -22.339725)
(-43.045265, -22.33952)
(-43.045628, -22.339338)
(-43.04607, -22.339191)
(-43.046616, -22.3391)
(-43.046623, -22.339064)
(-43.04658, -22.33904)
(-43.04657, -22.339046)
(-43.04651, -22.339077)
(-43.046455, -22.339102)
(-43.046432, -22.339111)
(-43.04638, -22.339108)
(-43.046333, -22.339108)
(-43.046295, -22.33911)
(-43.046257, -22.33913)
(-43.046215, -22.339151)
(-43.04615, -22.339188)
(-43.046116, -22.339218)
(-43.04608, -22.339231)
(-43.046043, -22.339233)
(-43.04608, -22.339231)
(-43.046116, -22.339218)
(-43.04615, -22.339188)
(-43.046215, -22.339151)
(-43.046257, -22.33913)
